stop_id;stop_name;stop_lat;stop_lon;wheelchair_accessible
128;Mattarello Rio Stolzano;46.002959;11.126782;2.0
129;Meano Bivio S.Lazzaro;46.128153;11.1152;2.0
130;Meano Bivio S.Lazzaro;46.127618;11.115305;2.0
131;"Sp 76 ""Piac""";46.126807;11.114628;1.0
133;"Sp 76 ""Maregioli""";46.130566;11.121651;2.0
134;"Sp 76 ""Maregioli""";46.130305;11.121329;1.0
135;"Meano ""Campo Sportivo""";46.128287;11.120321;1.0
136;"Meano ""Campo Sportivo""";46.128357;11.119865;1.0
137;"Meano ""Cimitero""";46.125734;11.118399;1.0
138;"Meano ""Cimitero""";46.125503;11.118357;1.0
139;"Sp 76 ""Via Rossa""";46.119793;11.111463;2.0
140;"Sp 76 ""Via Rossa""";46.11965;11.111323;2.0
141;Meano Piazza Dell'assunta;46.122693;11.116859;2.0
142;Meano Portoni;46.123508;11.116937;2.0
143;Sp 76 Dos di Lamar;46.124991;11.113511;2.0
144;Sp 76 Dos di Lamar;46.124688;11.112827;1.0
145;"Mesiano ""Fac. Ingegneria""";46.067111;11.139552;1.0
146;"Mesiano ""Fac. Ingegneria""";46.067201;11.139594;1.0
147;"Mesiano ""Stazione Fs""";46.064922;11.141795;1.0
148;"Mesiano ""Stazione Fs""";46.065054;11.141743;1.0
149;Povo Valoni;46.065426;11.146084;1.0
150;Povo Valoni;46.065751;11.146343;1.0
151;Montevaccino;46.108248;11.14267;0.0
152;Montevaccino di Sotto;46.109413;11.140128;2.0
153;Montevaccino di Sotto;46.109498;11.140077;2.0
154;"Sp 131 ""Paganin""";46.106369;11.137467;2.0
155;"Sp 131 ""Paganin""";46.106393;11.137553;2.0
156;"M.Vaccino ""Maso Librar""";46.11041;11.138496;2.0
157;"M.Vaccino ""Maso Librar""";46.110514;11.138462;2.0
158;"Ss 45 ""Montevideo""";46.080315;11.098555;2.0
159;Villazzano Valnigra;46.052083;11.146588;1.0
160;Villazzano Valnigra;46.052091;11.146369;1.0
161;Oltrecastello;46.072734;11.161992;0.0
162;F.Lli Fontana Gen. Cantore;46.076884;11.118989;1.0
163;"Piazza Dante ""Palazzo Pat""";46.072301;11.120437;1.0
165;Piazza di Fiera;46.065117;11.123289;0.0
166;S.Francesco Porta Nuova;46.06689;11.126409;1.0
167;Piazza Vicenza;46.062096;11.132883;0.0
168;Piazza Vicenza;46.062261;11.132819;0.0
171;"Brescia ""Piedicastello""";46.070815;11.113433;1.0
172;"Brescia ""Piedicastello""";46.070531;11.111447;1.0
173;Tangenziale Ovest Pezcoller;46.047882;11.11346;2.0
174;Ponte Lodovico;46.069376;11.138945;0.0
175;Ponte Lodovico;46.069514;11.140184;0.0
176;"Venezia ""Port'aquila""";46.069863;11.12824;2.0
177;"Cervara ""Port'aquila""";46.070192;11.128072;2.0
178;"Cervara ""Port'aquila""";46.070054;11.12791;1.0
179;Spré Pinara;46.06749;11.161268;1.0
180;Spré Pinara;46.067189;11.160763;1.0
181;"Povo ""Casa di Riposo""";46.065739;11.159706;1.0
182;"Povo ""Casa di Riposo""";46.065543;11.159557;1.0
183;"Povo ""Centro Civico""";46.06411;11.151992;1.0
184;"Povo ""Centro Civico""";46.06387;11.151952;2.0
185;Povo S.Agata;46.066341;11.156734;1.0
186;Povo Piazza Manci;46.065879;11.154677;1.0
187;Povo Piazza Manci;46.065939;11.154528;2.0
188;"Povo ""Fac. Scienze""";46.063156;11.150091;1.0
189;"Povo ""Fac. Scienze""";46.063282;11.150174;1.0
190;"Povo ""Polo Sociale""";46.06546;11.158013;2.0
191;"Povo ""Polo Sociale""";46.065689;11.157889;1.0
192;Ravina Masere;46.039047;11.111615;2.0
193;Ravina Masere;46.039286;11.112482;1.0
194;"Ravina ""Case Itea""";46.037329;11.114055;1.0
195;"Ravina ""Case Itea""";46.037956;11.114081;2.0
196;Ravina Chiesa;46.03773;11.107763;2.0
197;Ravina Piazza;46.038007;11.108836;1.0
198;Ravina Per Belvedere;46.04147;11.106068;2.0
199;Ravina Per Belvedere;46.040947;11.106338;1.0
200;Ravina Del Ponte;46.04289;11.111775;2.0
201;Ravina Del Ponte;46.041193;11.113139;2.0
202;"Piazza Dante ""Pal. Regione""";46.071751;11.1214;1.0
203;Romagnano Nord;46.020118;11.110866;2.0
204;Romagnano Nord;46.020034;11.110896;2.0
205;Romagnano Fontanelle;46.015241;11.107137;2.0
206;Romagnano Fontanelle;46.014549;11.106708;2.0
207;Romagnano 7 Fontane;46.014708;11.105053;2.0
208;Romagnano Piazza Condini;46.017727;11.10587;1.0
209;Romagnano Sud;46.013013;11.105542;2.0
210;Romagnano Sud;46.01213;11.104968;2.0
211;Romagnano Rimoni;46.016805;11.108328;1.0
212;Romagnano Rimoni;46.016465;11.108234;1.0
213;Roncafort;46.101226;11.101583;0.0
214;"Ss 12 ""Zona Ind.Le Ftm""";46.120375;11.105848;2.0
215;Povo Salé;46.062025;11.151318;1.0
216;Povo Salé;46.062005;11.150887;2.0
217;"Verona ""S.Bartolameo""";46.050654;11.130531;1.0
218;"Verona ""S.Bartolameo""";46.051053;11.130406;1.0
219;San Donà;46.07157;11.138357;1.0
220;"San Donà ""Chiesa""";46.072151;11.138386;2.0
222;San Donà;46.070882;11.139489;2.0
223;Lamar Sponda Trentina;46.134482;11.111548;1.0
224;San Lazzaro Ponte Avisio;46.137891;11.118434;1.0
226;San Rocco Torricelle;46.038494;11.145576;2.0
227;San Rocco Piazza;46.03626;11.146204;1.0
228;Piazza Madonna Delle Laste;46.074105;11.135279;0.0
229;Sopramonte Piazza Oveno;46.071342;11.059187;2.0
230;Sopramonte Bivio Baselga;46.07555;11.058451;2.0
231;Sopramonte Bivio Baselga;46.075587;11.058645;2.0
232;"Sopramonte ""Valle""";46.075888;11.055913;2.0
233;"Sopramonte ""Valle""";46.075948;11.05575;2.0
234;"Sopramonte ""Novai""";46.067712;11.061514;1.0
235;Sopramonte Piazza Oveno;46.071176;11.059527;2.0
236;"Sopramonte ""Bunaga""";46.069285;11.05707;1.0
237;"Sopramonte ""Bunaga""";46.069969;11.057969;1.0
238;Spini di Gardolo;46.121625;11.090102;0.0
239;Spini Linz;46.118514;11.096121;2.0
240;Spini Linz;46.118533;11.096514;2.0
241;Spini Monaco;46.11874;11.092667;2.0
242;Spini Monaco;46.118457;11.092762;2.0
243;Spré S.Lucia;46.06941;11.161625;2.0
244;Spré S.Lucia;46.069213;11.161184;2.0
245;"Sp 85 ""Soraval""";46.083412;11.064273;1.0
246;"Sp 85 ""Soraval""";46.083174;11.064109;2.0
247;"Piazza Dante ""Stazione Fs""";46.071756;11.119511;1.0
248;Tavernaro Centro;46.081409;11.154945;2.0
249;Tavernaro Centro;46.081506;11.155013;1.0
250;"Tavernaro ""Salet""";46.081825;11.157904;1.0
251;"Tavernaro ""Salet""";46.081977;11.158399;1.0
252;"Tavernaro ""Villa Clementi""";46.080892;11.157486;2.0
253;"Tavernaro ""Villa Clementi""";46.081286;11.156045;2.0
255;Vela Alla Scala;46.078838;11.103643;1.0
256;Vela Alla Scala;46.079042;11.10342;1.0
257;Gardolo 4 Nov. Canova;46.098824;11.112888;1.0
258;"Gardolo 4 Nov. ""Piscina""";46.104302;11.112908;1.0
259;Gardolo 4 Nov. Soprasasso;46.106596;11.112223;2.0
260;Adamello Gorizia;46.059886;11.132267;2.0
261;"Gardolo ""Stazione Ftm""";46.107233;11.103845;2.0
262;"M. Rossi ""Stella D.Mattino""";46.107391;11.101207;1.0
263;"M. Rossi ""Stella D.Mattino""";46.107354;11.100457;1.0
264;Al Desert Muredei;46.051317;11.117311;2.0
265;Al Desert Muredei;46.050958;11.117076;1.0
266;Al Desert Ragazzi Del '99;46.0469;11.115712;1.0
267;Al Desert Ragazzi Del '99;46.047131;11.115704;1.0
269;"Apuleio ""Case Degasperi""";46.073543;11.115546;1.0
270;"Apuleio ""Ponte S.Giorgio""";46.076349;11.114967;2.0
271;"Asiago ""Cernidor""";46.050295;11.13724;2.0
272;"Asiago ""Bellevue""";46.053211;11.136383;2.0
273;"Asiago ""Bellevue""";46.053087;11.136438;2.0
274;"Asiago ""Cernidor""";46.049614;11.137304;2.0
275;Castello Buonconsiglio;46.070388;11.126826;0.0
276;"Sanzio ""Castello""";46.071903;11.126008;1.0
277;"Barbacovi ""Itg Pozzo""";46.064413;11.12985;1.0
278;Ss 47 Muralta;46.077053;11.131799;2.0
279;Martignano Capitel;46.082249;11.127221;2.0
280;Martignano Capitel;46.08168;11.126846;1.0
281;"Bettini ""Nido Mad. Bianca""";46.040445;11.135356;1.0
282;"Bettini ""Nido Mad. Bianca""";46.040111;11.135449;1.0
283;Bezzi Filzi;46.058483;11.119231;1.0
284;"Bolghera ""S.Antonio""";46.058168;11.1312;1.0
285;"Lamar ""Sottostazione Enel""";46.131117;11.110231;2.0
286;"Ss 12 ""Pioppeto""";46.108373;11.108551;1.0
287;Ss 12 Bivio Meano;46.116068;11.106212;2.0
288;Ss 12 Canova;46.098968;11.111801;1.0
289;"Ss 12 ""Paludi""";46.102642;11.110517;2.0
290;Ss 12 Canova;46.100402;11.111543;1.0
291;"Brennero ""Bren Center""";46.091515;11.115307;1.0
292;"Brennero ""Bren Center""";46.091499;11.115601;1.0
293;Brennero Marconi;46.083031;11.120416;1.0
294;Brennero Malvasia;46.077968;11.123274;1.0
295;Brennero Marconi;46.083704;11.119817;1.0
296;"Brennero ""Magnete""";46.089309;11.116571;1.0
297;"Brennero ""Ex Scalo Filzi""";46.080071;11.122109;1.0
298;"Brennero ""Ex Scalo Filzi""";46.079302;11.12238;1.0
300;"Brennero ""Tridente""";46.08648;11.11843;1.0
301;"Brigata Acqui ""Itc Tambosi""";46.065447;11.128453;1.0
303;Roncafort Bettine;46.097554;11.102563;2.0
304;Caneppele Goio;46.094442;11.105189;2.0
305;Caneppele Goio;46.094446;11.10508;2.0
306;Cervara Cereria;46.074217;11.128394;2.0
307;Cervara Cereria;46.074148;11.128427;2.0
308;Martignano Cesarini;46.086329;11.129247;2.0
309;Martignano Cesarini;46.087089;11.129618;2.0
310;Conci De Riccabona;46.039514;11.140832;2.0
311;Conci De Riccabona;46.039362;11.140403;1.0
312;Conci Ferrovia;46.039317;11.137726;2.0
313;Conci Ferrovia;46.039824;11.137235;2.0
314;Degasperi Anna Frank;46.050201;11.124067;1.0
315;Degasperi Anna Frank;46.051157;11.122932;1.0
316;"Degasperi ""Palazzo Stella""";46.0431;11.129397;1.0
317;"Degasperi ""Palazzo Stella""";46.0429;11.129774;1.0
318;"Degasperi ""Big Center""";46.044844;11.128022;1.0
319;"Degasperi ""Big Center""";46.045018;11.128138;2.0
320;Degasperi La Clarina;46.048007;11.126793;1.0
321;Degasperi La Clarina;46.04867;11.126205;1.0
322;"Dei Mille ""Villa Igea""";46.062502;11.127822;1.0
323;"Dei Mille ""Villa Igea""";46.062524;11.127957;1.0
324;"Villazzano ""Villa De Mersi""";46.048201;11.143371;1.0
325;Martignano Costiole;46.092338;11.132591;1.0
326;Martignano Costiole;46.092456;11.1325;2.0
327;Martignano Castori;46.083464;11.127864;2.0
328;Martignano Castori;46.083438;11.127722;1.0
329;Dos Trento Mariano;46.074583;11.11342;1.0
330;Dos Trento Apuleio;46.073035;11.114821;1.0
331;Ponte S.Giorgio;46.077012;11.114109;0.0
333;F.Lli Fontana Gen. Cantore;46.077014;11.118701;1.0
334;F.Lli Fontana Oberziner;46.077447;11.11678;1.0
335;Fermi La Clarina;46.048694;11.129102;1.0
338;"Fogazzaro ""Piscina""";46.056256;11.130446;1.0
339;"Fogazzaro ""Piscina""";46.055999;11.129676;1.0
340;Ss 349 Pozzata;46.03951;11.144092;2.0
342;"Gandhi ""Parco Anna Frank""";46.051768;11.124369;1.0
344;"Gerola ""Ospedale S.Chiara""";46.058333;11.133082;1.0
345;Ghiaie Monte Baldo;46.056236;11.11612;2.0
346;"Ghiaie ""Giardinerie""";46.05317;11.116794;1.0
347;"Giovanelli ""Osp. S.Camillo""";46.0655;11.131873;1.0
348;Giusti Pascoli;46.060282;11.118954;1.0
349;"Giusti ""Arcivescovile""";46.061521;11.119038;1.0
350;"Gocciadoro ""Arcate""";46.054869;11.133747;1.0
351;"Gocciadoro ""Poliambulatori""";46.055632;11.132219;1.0
352;Gorizia Adamello;46.059878;11.131346;1.0
353;"Gramsci ""Materna La Clarina""";46.053331;11.125535;1.0
354;Gramsci Einaudi;46.052639;11.128171;2.0
355;Grazioli Brigata Acqui;46.067114;11.128745;1.0
356;Guardini Gilli;46.091908;11.119067;1.0
357;Guardini Gilli;46.091364;11.119265;2.0
358;"Lunelli ""Aci""";46.092684;11.119846;1.0
360;"Maccani ""Rotatoria""";46.082769;11.114889;1.0
361;Maccani Commercio;46.091766;11.10749;1.0
362;Maccani Commercio;46.091669;11.107424;1.0
363;Maccani Campotrentino;46.085714;11.112535;1.0
364;Maccani Campotrentino;46.085455;11.112658;2.0
365;Maccani Abondi;46.080884;11.116571;1.0
366;Maccani Abondi;46.080857;11.116496;1.0
368;"Maccani ""Polizia Locale""";46.089845;11.109059;1.0
369;"Maccani ""Polizia Locale""";46.090707;11.10823;1.0
370;"Maccani ""Rotatoria""";46.082986;11.114802;1.0
371;"Maccani ""Ex Sloi""";46.087967;11.110639;1.0
372;"Maccani ""Ex Sloi""";46.087889;11.110606;1.0
374;Marconi Solteri;46.084415;11.121228;2.0
375;Marconi Solteri;46.084529;11.121727;1.0
376;Villazzano Marzola;46.046735;11.148768;2.0
377;Villazzano Marzola;46.046644;11.14899;2.0
378;Villazzano Giordano;46.050762;11.148486;2.0
379;Villazzano Giordano;46.050756;11.148399;2.0
380;Mattioli Vittorio Veneto;46.058788;11.122615;1.0
382;Menguzzato Al Casteller;46.038132;11.134411;2.0
383;"Menguzzato ""Centro Civico""";46.040399;11.131724;1.0
384;"Menguzzato ""Centro Civico""";46.04019;11.132068;1.0
385;Menguzzato Al Casteller;46.03806;11.134171;1.0
386;Milano A Prato;46.060778;11.127597;1.0
387;Milano A Prato;46.060738;11.127737;1.0
388;Missioni Africane;46.076647;11.128205;0.0
389;Quattro Strade;46.075498;11.128156;0.0
390;Quattro Strade;46.07627;11.128154;0.0
391;Missioni Africane;46.078522;11.12722;0.0
392;Monte Baldo Ghiaie;46.057187;11.115167;2.0
393;Muredei Prati;46.056933;11.118149;2.0
395;Muredei Benevoli;46.053262;11.118539;2.0
397;Oberziner Alpini;46.078725;11.11762;1.0
400;Pasubio Adamello;46.060039;11.133347;1.0
401;F.Lli Perini 3 Novembre;46.060865;11.124266;1.0
402;"Piave ""Parco S.Chiara""";46.064131;11.12761;2.0
403;Romagnosi Vannetti;46.072966;11.122675;1.0
404;"Rosmini ""Cimitero"" / Muse";46.064014;11.119486;1.0
405;"Rosmini ""Cimitero"" / Muse";46.063777;11.119653;1.0
406;Rosmini S.Maria Maggiore;46.067878;11.118839;1.0
407;Rosmini S.Maria Maggiore;46.068034;11.118702;1.0
408;"3 Nov. ""Centro S.Chiara""";46.062192;11.123797;1.0
409;"3 Nov. ""Centro S.Chiara""";46.062244;11.123946;1.0
410;S.Francesco Porta Nuova;46.066987;11.12623;1.0
412;S.Pio X Matteotti;46.056448;11.119846;1.0
413;S.Pio X Largo Prati;46.056778;11.119278;1.0
414;S.Pio X Benevoli;46.053943;11.120571;1.0
415;S.Pio X Benevoli;46.053836;11.120696;1.0
416;Sanseverino S.Nicolò;46.05237;11.112007;1.0
417;Sanseverino S.Nicolò;46.050945;11.111681;1.0
420;Segantini Centa;46.075533;11.122391;1.0
421;Segantini Dogana;46.074195;11.121494;1.0
422;"Solteri ""Piazzina""";46.085501;11.12256;1.0
423;"Solteri ""Piazzina""";46.085496;11.122474;2.0
424;Solteri Largaiolli;46.089979;11.120936;1.0
425;Solteri Largaiolli;46.090042;11.12082;1.0
426;"Solteri ""Nido La Trottola""";46.087949;11.121282;1.0
427;"Solteri ""Nido La Trottola""";46.087572;11.121396;1.0
428;Gardolo Soprasasso;46.105625;11.107433;2.0
429;Gardolo Soprasasso;46.105498;11.10728;1.0
430;"Gardolo ""Cimitero""";46.106424;11.105638;1.0
431;Parco Del Dos Trent;46.073335;11.107385;0.0
432;Parco Del Dos Trent;46.073141;11.107375;0.0
433;Brescia Divisioni Alpine;46.071043;11.109667;2.0
434;Brescia Divisioni Alpine;46.07096;11.109664;2.0
435;Vela S.Giorgio;46.07629;11.104958;2.0
436;Vela S.Giorgio;46.076104;11.105151;1.0
437;"Dos Trento ""Centro Sportivo""";46.075623;11.107078;2.0
438;"Dos Trento ""Centro Sportivo""";46.075279;11.107483;2.0
439;"Sp 90 ""Maso Prudenza""";46.028929;11.111593;2.0
440;"Sp 90 ""Maso Prudenza""";46.029257;11.111746;2.0
441;Maso Rossi Aichner;46.105192;11.100545;1.0
443;Torre Verde Galasso;46.070654;11.122776;2.0
444;Travai Al Nuoto / Muse;46.06455;11.120922;1.0
446;"Vittorio Veneto ""S.Giuseppe""";46.057759;11.119314;1.0
447;Vittorio Veneto Lorenzoni;46.058637;11.123793;1.0
448;Largo Prati;46.057498;11.117145;0.0
449;Largo Prati;46.057502;11.117642;0.0
450;Venezia Cave;46.06664;11.13153;2.0
451;Venezia Cave;46.066443;11.132573;2.0
452;"Venezia ""Corallo""";46.068584;11.136364;1.0
453;"Venezia ""Corallo""";46.069215;11.136423;1.0
454;Vicenza Montello;46.061688;11.135919;1.0
455;Vicenza Montello;46.061756;11.135814;1.0
456;"Zambra ""Ist. D'arte Vittoria""";46.092327;11.116446;1.0
457;Verona Fogazzaro;46.056393;11.128495;1.0
458;Verona Fogazzaro;46.05648;11.128573;1.0
459;"Verona ""Palazzo Stella""";46.043087;11.131261;1.0
460;Verona Menguzzato;46.042627;11.131436;2.0
461;"Verona ""Questura""";46.047729;11.131077;1.0
462;Verona Einaudi;46.052957;11.129723;1.0
463;Verona Einaudi;46.052827;11.129887;1.0
464;"Verona ""Questura""";46.047963;11.131182;2.0
466;"3 Nov. ""Ponte Cavalleggeri""";46.05926;11.126666;1.0
467;Vigo Meano Rio Papa;46.133407;11.132546;2.0
468;Vigo Meano Rio Papa;46.133614;11.13241;2.0
469;Vigo Meano Piazza Stainer;46.131433;11.134609;1.0
470;Vigo Meano Piazza Stainer;46.131968;11.134013;1.0
471;Gazzadina Al Molar;46.130653;11.130774;2.0
472;Gazzadina Al Molar;46.130483;11.130637;2.0
473;Villazzano Villa Belfonte;46.043566;11.149677;1.0
474;Villazzano Villa Belfonte;46.043555;11.149783;1.0
475;"Villazzano ""Villa Tambosi""";46.043932;11.140651;1.0
476;"Villazzano ""Villa Tambosi""";46.043827;11.140139;1.0
477;Villamontagna P.Predaroi;46.086121;11.160453;1.0
478;"Villamontagna ""Michei""";46.084235;11.16288;2.0
479;"Villamontagna ""Michei""";46.08452;11.163106;2.0
481;"Villazzano ""Chiesa""";46.049358;11.143947;2.0
484;Villazzano Piazza Nicolini;46.048996;11.14602;1.0
485;Villazzano Piazza Nicolini;46.049107;11.146087;1.0
486;Villazzano Banala;46.047437;11.142286;1.0
488;"Conci ""Villazzano 3""";46.041035;11.14068;1.0
490;Zell Marnighe;46.080233;11.138364;1.0
491;Zell Marnighe;46.080041;11.138755;1.0
492;"Spini ""Officine""";46.11841;11.100034;2.0
493;"Spini ""Officine""";46.118234;11.100622;2.0
494;"Spini ""Zona Ind.Le Ftm""";46.118168;11.103939;2.0
495;"Spini ""Zona Ind.Le Ftm""";46.118038;11.10365;2.0
496;Spini Klagenfurt;46.117775;11.094238;1.0
497;Spini Klagenfurt;46.117756;11.094421;1.0
524;"3 Nov. ""Ponte Cavalleggeri""";46.059396;11.126384;1.0
527;"Meano ""Centro Civico""";46.126579;11.11676;1.0
1278;Corso Bettini Liceo;45.896301;11.043306;1.0
1279;Corso Bettini Liceo;45.895162;11.043361;1.0
1280;"Corso Bettini ""Mart""";45.892943;11.043667;1.0
1281;"Corso Bettini ""Mart""";45.893097;11.043771;2.0
1282;Corso Rosmini Via Savioli;45.890979;11.038463;1.0
1283;Corso Rosmini Monumento;45.890893;11.042737;1.0
1284;Corso Rosmini Posta;45.890968;11.040933;1.0
1285;Corso Rosmini Via Savioli;45.890912;11.038264;1.0
1286;Corso Verona Ospedale;45.882264;11.040343;1.0
1287;Lizzanella Corso Verona;45.875615;11.034204;2.0
1289;Corso Verona Ospedale;45.881038;11.039613;2.0
1290;Via Vicenza Via Cartiera;45.887177;11.05054;2.0
1291;Via Vicenza Via Cartiera;45.887171;11.050971;2.0
1292;Chiusole;45.925517;11.05304;2.0
1293;Chiusole;45.925428;11.05349;2.0
1295;Costa Capolinea;45.884164;11.072955;2.0
1296;Sp.2 Loc. Beccache';45.882022;11.071445;2.0
1297;Marco Via Pinera;45.847951;11.011766;2.0
1298;Marco Centro;45.843919;11.008619;2.0
1299;Marco Chiesa;45.841814;11.007836;1.0
1300;Marco Via Alla Ghiffa;45.840134;11.009486;2.0
1301;Marco;45.83687;11.011181;0.0
1302;Marco Via Alla Ghiffa;45.8402;11.00955;2.0
1303;Marco Chiesa;45.841461;11.008369;2.0
1304;Marco Centro;45.843821;11.008624;1.0
1305;Marco Via Pinera;45.847456;11.011517;2.0
1307;Nogaredo Via Zuccate;45.912242;11.025615;2.0
